objectid,title,creator,date,description,format,language,publisher,rights,rightsstatement,type,type_genre,source,oclc number,date created,date modified,reference_url,cdmid,contentdm file name, contentdm file path
10,Doctors Are Scarce--Learn First Aid & Home Nursing,United States. Office of War Information; United States. Office of Civil Defense; American National Red Cross,1943,One out of three [doctors] has gone to war--Be Prepared--for minor injury--for minor illness.,image/jpeg,en_US,United States. Government Printing Office,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Text,posters,World War II Posters,oksa_1972-002f1p11,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/206,206,234.jp2,/WW2Posters/image/234.jp2
11,Altitude Is Safe--If You Know What You're Doing--...Ask Your Oxygen Officer,United States. Army Air Forces. Training Aids Division; United States. Army Air Forces. Office of Flying Safety; Kane,1943-10-20,"Man balancing on a tightrope above buildings. Air Poster No. API-5050, sheet no. 3 of 5.",image/jpeg,en_US,United States. Government Printing Office,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f1p7,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/207,207,290.jp2,/WW2Posters/image/290.jp2
12,Battle-Wise Infantryman...Is Careful of What He Says or Writes--How About You?,"United States. Office of War Information; Schlaikjer, Jes Wilhelm",1944,Infantryman in uniform with his rifle.,image/jpeg,en_US,United States. Government Printing Office,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f5p12,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/208,208,207.jp2,/WW2Posters/image/207.jp2
13,I'm Counting on You!--Don't Discuss--Troop Movements--Ship Sailings--War Equipment,"United States. Office of War Information; Helguera, Leon",1943,Uncle Sam with one finger to his lips in a silencing signal.,image/jpeg,en_US,United States. Government Printing Office,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f6p12,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/209,209,284.jp2,/WW2Posters/image/284.jp2
14,Produce High Grade Cotton--Make the Grade This Year,"United States. Department of Agriculture; Lee, Robert E.",1944,"A large cotton bloom in the background and a soldier with his gun ready. ""Pick dry as possible--Keep trash out--Pick before weather damage--Keep good cotton separate.""",image/jpeg,en_US,United States. Government Printing Office,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f7p16,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/210,210,344.jp2,/WW2Posters/image/344.jp2
15,Save Waste Fats,United States. War Production Board. Bureau of Industrial Conservation,1942,"Illustrated steps to recycle waste fats: ""Save waste fats and greases--Strain into clean can--Keep in cool dark place--Sell it to your meat dealer.""",image/jpeg,en_US,United States. Government Printing Office,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f7p25,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/211,211,312.jp2,/WW2Posters/image/312.jp2
16,Avenge--December 7,"United States. Office of War Information; Perlin, Bernard",1942,"A man coming out of the darkness, shaking his fist. A warship exploding at the bottom, in representation of the attack on Pearl Harbor.",image/jpeg,en_US,United States. Government Printing Office,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f8p2,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/212,212,211.jp2,/WW2Posters/image/211.jp2
17,Lend a Hand!--Bonds Buy Bombs,"United States. Department of the Treasury; Reynard, Grant",1939-1945,"Pilot with a Victory Hand raised, seated among bombs.",image/jpeg,en_US,Abbott Laboratories,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f5p3,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/213,213,283.jp2,/WW2Posters/image/283.jp2
18,I'll Carry Mine Too!--Trucks and Tires Must Last Till Victory,"United States. Office of War Information; United States. Office of Defense Transportation; Sarra, Valentino",1943,Soldiers marching in the background. A woman carrying her own groceries in the foreground.,image/jpeg,en_US,United States. Government Printing Office,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f7p31,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/214,214,302.jp2,/WW2Posters/image/302.jp2
19,Protect Them--Don't Pay Over Ceiling Prices,United States. Office of Price Administration,1945,A hand clutching a $25 war savings bond and a savings accounts slip.,image/jpeg,en_US,United States. Government Printing Office,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f7p1,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/215,215,279.jp2,/WW2Posters/image/279.jp2
20,1946 Resolution--That Every American Buy and Hold U. S. Savings Bonds,United States. Department of the Treasury,1945,"Resolution written on a scroll, lying atop war bonds.",image/jpeg,en_US,United States. Government Printing Office,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f5p40,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/216,216,208.jp2,/WW2Posters/image/208.jp2
21,OURS...to Fight for (composite),"United States. Office of War Information; Rockwell, Norman",1943,"All four ""OURS...to fight for"" posters, featuring ""Freedom of Speech,"" ""Freedom of Worship,"" ""Freedom from Want,"" and ""Freedom from Fear."" All paintings included were originally printed in the Saturday Evening Post.",image/jpeg,en_US,United States. Government Printing Office,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f3p4,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/217,217,299.jp2,/WW2Posters/image/299.jp2
22,Bundles for Berlin--More Production!,"United States. War Production Board; Brindle, Melbourne",1942,Two men installing bombs in the bottom of a plane.,image/jpeg,en_US,United States. Government Printing Office,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f8p3,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/218,218,201.jp2,/WW2Posters/image/201.jp2
23,"Art Education in ""Schools at War""--School Art Sells Bonds--Builds Victory","United States. Department of the Treasury; Longyear, William",1943,Chart showing the ways art is used for the war effort. A statement at the top alludes to this purpose.,image/jpeg,en_US,Related Arts Service,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f5p31,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/219,219,331.jp2,/WW2Posters/image/331.jp2
24,Help Him Get Through!--Buy War Bonds,"United States. Department of the Treasury; Schnakenberg, Arthur",1939-1945,Soldier struggling through the jungle.,image/jpeg,en_US,Abbott Laboratories,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f5p28,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/220,220,277.jp2,/WW2Posters/image/277.jp2
25,"You Are One of 50,000,000 Americans Who Must Fill Out an Income Tax Return by March 15th--Do It Now!",United States. Office of War Information; United States. Department of the Treasury; United States. Bureau of Internal Revenue,1944,Avoid the rush--Find out where you stand on payments or refund...today. One of two posters issued by the Bureau of Internal Revenue with the United States' Treasury Department.,image/jpeg,en_US,United States. Government Printing Office,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Text,posters,World War II Posters,oksa_1972-002f5p33,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/221,221,289.jp2,/WW2Posters/image/289.jp2
26,Keep the Home Front Pledge--Pay No More Than Ceiling Prices--Pay Your Points in Full,United States. Office of Price Administration,1944,A woman raising her right hand and taking the pledge.,image/jpeg,en_US,United States. Government Printing Office,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f7p54,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/222,222,213.jp2,/WW2Posters/image/213.jp2
27,United Nations Fight for Freedom (GPO Jacket No. 461205),United States. Office of Facts and Figures,1942-05-01,"The Statue of Liberty in color, featured with flags of all the countries comprising the United Nations.",image/jpeg,en_US,United States. Government Printing Office,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f8p15,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/223,223,276.jp2,/WW2Posters/image/276.jp2
28,For Peace and Security--Buy Bonds,"United States. Department of the Treasury; Ball, Linn",1945,Three Wise Men following the star to Bethlehem.,image/jpeg,en_US,United States. Government Printing Office,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f5p43,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/224,224,248.jp2,/WW2Posters/image/248.jp2
29,Become a Nurse--Your Country Needs You,United States. Federal Security Agency; United States. Public Health Service; United States. Office of War Information,1942,Uncle Sam placing a nursing cap on a woman's head.,image/jpeg,en_US,United States. Government Printing Office,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f2p14,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/225,225,206.jp2,/WW2Posters/image/206.jp2
30,Care is Costly--Buy War Bonds and Stamps,"United States. Department of the Treasury; Treidler, Adolph",1945,"Injured soldier sitting against a wall. The same art is used for the ""Care is Costly--Buy and Hold War Bonds"" poster.",image/jpeg,en_US,United States. Government Printing Office,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f5p49,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/226,226,342.jp2,/WW2Posters/image/342.jp2
31,Work on a Farm...This Summer--Join the U.S. Crop Corps,"United States. Office of War Information; Douglas, Morgan",1943,"Young man and woman holding a pitchfork and a basket of produce. Believed to play on Grant Wood's ""American Gothic"" painting.",image/jpeg,en_US,United States. Government Printing Office,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f4p10,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/227,227,332.jp2,/WW2Posters/image/332.jp2
32,Where Your Used Fats Go!,,1939-1945,A chart showing how recycled fats are used for different military needs.,image/jpeg,en_US,United States. Government Printing Office,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f7p28,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/228,228,322.jp2,/WW2Posters/image/322.jp2
33,He's Sure to Get V...- Mail--Safest Overseas Mail,"United States. Army. Postal Service; United States. Army. Recruiting Publicity Bureau; Schlaikjer, Jes Wilhelm",1943,"A smiling soldier, holding a yellow letter.",image/jpeg,en_US,United States. Government Printing Office,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f8p6,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/229,229,260.jp2,/WW2Posters/image/260.jp2
34,Americans Suffer--When Careless Talk Kills,"Anderson, Harry",1943,The parents of a soldier crying over a Western Union telegram with a blue star hanging in the background.,image/jpeg,en_US,United States. Government Printing Office,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f6p9,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/230,230,227.jp2,/WW2Posters/image/227.jp2
35,Carry On!--Buy War Bonds,"United States. Department of the Treasury; Raskin, Joseph",1939-1945,"Nurse writing a letter for an injured, blinded soldier.",image/jpeg,en_US,Abbott Laboratories,"As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.",https://rightsstatements.org/vocab/NoC-US/1.0/,Image,posters,World War II Posters,oksa_1972-002f5p27,,2019-12-17,2019-12-17,http://cdm17279.contentdm.oclc.org/cdm/ref/collection/WW2Posters/id/231,231,226.jp2,/WW2Posters/image/226.jp2
