title	contributor	date original	description	format	language	publisher	rights	rights uri	type	type genre	identifier	osu.filename
Strong in the Strength of the Lord...	United States. Office of War Information; Martin, David Stone	1942	"Hands holding a gun and wrenches. ""Strong in the strength of the Lord--we who fight in the people's cause--will never stop until that cause is won."""	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f1p9	oksa_1972-002f1p9.jpg
They Did Their Part	United States. Office of War Information	1943	"Picture of the Sullivan brothers, U. S. Navy, classified as ""missing in action"" off the Solomons."	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f2p1	oksa_1972-002f2p1.jpg
Our Wounded Need Help!	United States. Office of War Information; American National Red Cross	1939-1945	"""Ten ways you can release nurses for military service..."""	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Text	posters	oksa_1972-002f2p10	oksa_1972-002f2p10.jpg
Speaking for Every Army Nurse	Dow Chemical Company	1939-1945	Headshot of an army nurse, with four pictures of army nurses in action.	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f2p11	oksa_1972-002f2p11.jpg
I Need Your Skill--in a War Job!	United States. Office of War Information; Flagg, James Montgomery	1943	Uncle Sam, pointing at and urging you to apply for a war job listed below.	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f2p12	oksa_1972-002f2p12.jpg
Serve Those Who Served	United States. Veterans Administration; Douglass Crockwell, Spencer	1945	Injured soldier in a chair with a background of a battle and a nurse tending to another injured soldier. The poster includes a letter from the Veterans Administration, urging the recipient to display the poster.	application/pdf	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f2p13	oksa_1972-002f2p13.pdf
Become a Nurse--Your Country Needs You	United States. Federal Security Agency; United States. Public Health Service; United States. Office of War Information	1942	Uncle Sam placing a nursing cap on a woman's head.	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f2p14	oksa_1972-002f2p14.jpg
You Can Have Silver Wings--U. S. Army Air Forces	United States. Army. Recruiting Publicity Bureau; Fischer	1943	Aviation Cadet Wings. Encourages persons between the ages of 17 and 18 to apply for the Air Corps Enlisted Reserve.	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f2p15	oksa_1972-002f2p15.jpg
Americans Will Always Fight for Liberty	United States. Office of War Information	1943	American Army of 1943 marching past the American Army of 1778.	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f2p16	oksa_1972-002f2p16.jpg
"Can You Qualify for the Army Air Corps?--""Keep 'Em Flying!"""	United States. Army. Recruiting Service	1942	Chart listing requirements for enlistment in the Air Corps.	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Text	posters	oksa_1972-002f2p2	oksa_1972-002f2p2.jpg
You Are Needed Now--Join the Army Nurse Corps	Green, Ruzzie	1943-06	"Headshot of woman from the Army Nurse Corps. ""Apply at your Red Cross recruiting station."""	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f2p3	oksa_1972-002f2p3.jpg
Educational Program of the United States Army	United States. Army. Services of Supply; United States. Office of Education; Army Institute (U.S.); United States. Army. Services of Supply. Special Service Division	1939-1945	Information about what to do before and after you enter the service.	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Text	posters	oksa_1972-002f2p4	oksa_1972-002f2p4.jpg
U.S. Cadet Nurse Corps	United States. Federal Security Agency; Ross, Alexander	1945	"Nurse Corps Cadet, with two female students admiring her in the background. ""A lifetime education FREE--for high school graduates who qualify."""	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f2p6	oksa_1972-002f2p6.jpg
Enlist in a Proud Profession...Join the U.S. Cadet Nurse Corps	United States. Office of War Information; United States. Federal Security Agency; United States. Public Health Service	1943	"U. S. Nurse Corps Cadet in uniform. ""A lifetime education FREE! For high school graduates who qualify."""	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f2p9	oksa_1972-002f2p9.jpg
OURS...to Fight for--Freedom from Want	United States. Office of War Information; Rockwell, Norman	1943	"Family at Thanksgiving. Painting taken from the Saturday Evening Post. One in a series of four ""OURS...to fight for"" posters by Norman Rockwell."	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f3p1	oksa_1972-002f3p1.jpg
Save Freedom of Speech--Buy War Bonds	United States. Office of War Information; Rockwell, Norman	1943	Man standing among a seated crowd, prepared to speak. Painting taken from the Saturday Evening Post.	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f3p2	oksa_1972-002f3p2.jpg
OURS...to Fight for--Freedom from Fear	United States. Office of War Information; Rockwell, Norman	1943	"Parents tucking their children into bed. Painting taken from the Saturday Evening Post. One in a series of four ""OURS...to fight for"" posters by Norman Rockwell."	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f3p3	oksa_1972-002f3p3.jpg
OURS...to Fight for (composite)	United States. Office of War Information; Rockwell, Norman	1943	"All four ""OURS...to fight for"" posters, featuring ""Freedom of Speech,"" ""Freedom of Worship,"" ""Freedom from Want,"" and ""Freedom from Fear."" All paintings included were originally printed in the Saturday Evening Post."	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f3p4	oksa_1972-002f3p4.jpg
Save Freedom of Worship--Buy War Bonds	United States. Office of War Information; Rockwell, Norman	1943	"A crowd of people, each worshiping in a different way. ""Each according to the dictates of his own conscience."" Painting taken from the Saturday Evening Post. One in a series of four ""OURS...to fight for"" posters by Norman Rockwell."	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f3p7	oksa_1972-002f3p7.jpg
Grow Your Own--Be Sure!	Strong, Grover	1945	"Produce in front of a red, white, and blue ""V."" Propaganda for the Victory Garden Campaign."	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f4p1	oksa_1972-002f4p1.jpg
Work on a Farm...This Summer--Join the U.S. Crop Corps	United States. Office of War Information; Douglas, Morgan	1943	"Young man and woman holding a pitchfork and a basket of produce. Believed to play on Grant Wood's ""American Gothic"" painting."	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f4p10	oksa_1972-002f4p10.jpg
Put Your Muscle on a War Basis!--Sign up for a Farm Job	United States. War Manpower Commission	1942	Young man forking hay.	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f4p11	oksa_1972-002f4p11.jpg
Going Our Way?--Be a Victory Farm Volunteer	National Victory Farm Volunteers (U.S.); United States. Crop Corps; Bruehl, Anton	1945	Boy and girl going to farm, the boy shouldering a hoe and pitchfork. The poster is on the reverse side of a letter, urging the recipient to display the poster.	application/pdf	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f4p2	oksa_1972-002f4p2.pdf
Join Us on the Farm Front!	National Victory Farm Volunteers (U.S.); United States. Crop Corps	1944	"Two kids with farming tools. ""Be a Victory Farm Volunteer of the U. S. Crop Corps."""	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f4p3	oksa_1972-002f4p3.jpg
Your Victory Garden Counts More Than Ever!	United States. War Food Administration; Morley	1945	Vegetables with two farmers working in a victory garden.	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f4p4	oksa_1972-002f4p4.jpg
Plant a Victory Garden	United States. Office of War Information	1943	"Two adults and a child working in a garden. ""Our food is fighting--A garden will make your rations go further."""	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f4p6	oksa_1972-002f4p6.jpg
Can All You Can--It's a Real War Job!	United States. Office of War Information	1943	Jar with fruits and vegetables in the background.	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f4p8	oksa_1972-002f4p8.jpg
Grow Your Own--Can Your Own	United States. Office of War Information; Parker, Alfred	1943	"Little girl and her mother canning fruits and vegetables. ""We'll have lots to eat this winter, won't we Mother?"""	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f4p9	oksa_1972-002f4p9.jpg
7th War Loan--Now..All Together	United States. Department of the Treasury; Beall, C. C.	1945	"C. C. Beall's ""U. S. Marines at Iwo Jima."""	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f5p1	oksa_1972-002f5p1.jpg
Give It Your Best!	United States. Office of War Information	1942	American flag featured with text below.	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f5p10	oksa_1972-002f5p10.jpg
"""You Buy 'Em We'll Fly 'Em!""--Defense Bonds Stamps"	Wilkinsons	1942	"U.S. fighter pilot in his plane encouraging people to buy defense bonds stamps. ""The more bonds you buy - the more planes will fly."""	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f5p11	oksa_1972-002f5p11.jpg
Battle-Wise Infantryman...Is Careful of What He Says or Writes--How About You?	United States. Office of War Information; Schlaikjer, Jes Wilhelm	1944	Infantryman in uniform with his rifle.	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f5p12	oksa_1972-002f5p12.jpg
Your War Bonds are a Stake in the Future	Saalburg, Allen	1943	American Flag partially covering a plaque on a brick building.	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f5p13	oksa_1972-002f5p13.jpg
Women...Our Wounded Need Your Care!--Join a Hospital Company	United States. Army. Recruiting Publicity Bureau; United States. Army. Women's Army Corps	1945	Woman volunteering at an army hospital.	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f5p14	oksa_1972-002f5p14.jpg
Give War Bonds--The Present with a Future	United States. Department of the Treasury; Snider, Don	1943	Christmas tree with war bonds decorating it and packages scattered under it.	image/jpeg	en_US	United States. Government Printing Office	As a U.S. Government publication, this work is in the public domain and therefore may be used, reproduced and distributed without permission. As the Oklahoma State University Library is responsible for the digitized version of this work, the Library requests acknowledgment for material obtained from this website including the institution's name and the URL. Contact the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311 for further information.	https://rightsstatements.org/vocab/NoC-US/1.0/	Image	posters	oksa_1972-002f5p15	oksa_1972-002f5p15.jpg
